#Variables:
#tasmax_CCSM4_historical(K):Daily Maximum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 37.3438 Latitude, -79.8438 Longitude (closest value to Latitude:37.3145, Longitude:-79.8181) "
#Original Data File(s):
#macav2livneh_tasmax_CCSM4_r6i1p1_historical_1950_2005_CONUS_daily_aggregated.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_CCSM4_historical(K)"
1950-09-14,296.230743
1950-09-15,292.248444
1950-09-16,296.964569
1950-09-17,295.942932
1950-09-18,300.511017
1950-09-19,302.014526
1950-09-20,301.603973
1950-09-21,298.482788
1950-09-22,299.022400
1950-09-23,302.160400
1950-09-24,299.050354
1950-09-25,296.213287
1950-09-26,295.059296
1950-09-27,291.959778
1950-09-28,292.696777
1950-09-29,290.226868
1950-09-30,290.644836
1950-10-01,291.862457
1950-10-02,291.931091
1950-10-03,286.376648
1950-10-04,286.559174
1950-10-05,289.604523
1950-10-06,293.490356
1950-10-07,298.256378
1950-10-08,296.262512
1950-10-09,291.557678
1950-10-10,296.644623
1950-10-11,292.693085
1950-10-12,291.020355
1950-10-13,298.153534
1950-10-14,296.179413
1950-10-15,297.543518
1950-10-16,299.228821
1950-10-17,294.565094
1950-10-18,288.385376
1950-10-19,293.530548
1950-10-20,289.098145
1950-10-21,288.864868
1950-10-22,296.827179
1950-10-23,293.988922
1950-10-24,293.716705
1950-10-25,295.069031
1950-10-26,292.005676
1950-10-27,296.020660
1950-10-28,282.167145
1950-10-29,285.870575
1950-10-30,294.531708
1950-10-31,297.303925
1950-11-01,295.426208
1950-11-02,290.713379
1950-11-03,285.575714
1950-11-04,288.499084
1950-11-05,291.342773
1950-11-06,287.714447
1950-11-07,285.833832
1950-11-08,287.812744
1950-11-09,287.314117
1950-11-10,290.299927
1950-11-11,283.941071
1950-11-12,290.595581
1950-11-13,291.869904
1950-11-14,292.325928
1950-11-15,291.875458
1950-11-16,291.966736
1950-11-17,284.438141
1950-11-18,281.966003
1950-11-19,280.960419
1950-11-20,276.590576
1950-11-21,279.787201
1950-11-22,285.403564
1950-11-23,286.023956
1950-11-24,284.248596
1950-11-25,280.534058
1950-11-26,283.846710
1950-11-27,287.376526
1950-11-28,288.022827
1950-11-29,290.291504
1950-11-30,287.011169
1950-12-01,291.969604
1950-12-02,283.169800
1950-12-03,282.630463
1950-12-04,287.467529
1950-12-05,279.488190
1950-12-06,278.946716
1950-12-07,277.257874
1950-12-08,277.932770
1950-12-09,289.373535
1950-12-10,283.385223
1950-12-11,270.202148
1950-12-12,275.609467
1950-12-13,283.150024
1950-12-14,275.154572
1950-12-15,275.977722
1950-12-16,279.493988
1950-12-17,283.976440
1950-12-18,279.440460
1950-12-19,282.186798
1950-12-20,277.078979
1950-12-21,286.267731
1950-12-22,290.337830
1950-12-23,290.809784
1950-12-24,289.392517
1950-12-25,282.131470
1950-12-26,284.366058
1950-12-27,283.251587
1950-12-28,281.553314
1950-12-29,285.872528
1950-12-30,291.334686
1950-12-31,282.595123
1951-01-01,279.550140
1951-01-02,285.874573
1951-01-03,286.851227
1951-01-04,280.538818
1951-01-05,280.474609
1951-01-06,281.695099
1951-01-07,274.480469
1951-01-08,277.396881
1951-01-09,283.335022
1951-01-10,291.760590
1951-01-11,285.754700
1951-01-12,280.718109
1951-01-13,283.969574
1951-01-14,286.384827
1951-01-15,285.217072
1951-01-16,281.840302
1951-01-17,276.452881
1951-01-18,281.376740
1951-01-19,280.012695
1951-01-20,279.354675
1951-01-21,276.561615
1951-01-22,271.122284
1951-01-23,272.421082
1951-01-24,278.778503
1951-01-25,278.710663
1951-01-26,274.960541
1951-01-27,276.571198
1951-01-28,277.014740
1951-01-29,273.055939
1951-01-30,273.385590
1951-01-31,276.876526
1951-02-01,272.899933
1951-02-02,271.675293
1951-02-03,276.244141
1951-02-04,281.982452
1951-02-05,281.437256
1951-02-06,282.724884
1951-02-07,284.603180
1951-02-08,278.694794
1951-02-09,276.022980
1951-02-10,277.025055
1951-02-11,275.954010
1951-02-12,278.404480
1951-02-13,282.435730
1951-02-14,289.495087
1951-02-15,288.580872
1951-02-16,288.677704
1951-02-17,277.531494
1951-02-18,282.970459
1951-02-19,284.378571
1951-02-20,282.267426
1951-02-21,284.582794
1951-02-22,283.179291
1951-02-23,286.225922
1951-02-24,283.800018
1951-02-25,281.569000
1951-02-26,283.549896
1951-02-27,284.499207
1951-02-28,285.938965
1951-03-01,289.952148
1951-03-02,289.904572
1951-03-03,298.104065
1951-03-04,296.177734
1951-03-05,295.932098
1951-03-06,294.441711
1951-03-07,290.812439
1951-03-08,287.951935
1951-03-09,281.922821
1951-03-10,296.259888
1951-03-11,291.944061
1951-03-12,285.969513
1951-03-13,281.730591
1951-03-14,277.605377
1951-03-15,287.149689
1951-03-16,295.267334
1951-03-17,281.976166
1951-03-18,286.697052
1951-03-19,288.742096
1951-03-20,282.141785
1951-03-21,286.460571
1951-03-22,292.544739
1951-03-23,293.737183
1951-03-24,293.790771
1951-03-25,294.025299
1951-03-26,292.495605
1951-03-27,294.427521
1951-03-28,284.076996
1951-03-29,280.917389
1951-03-30,289.091064
1951-03-31,293.731659
1951-04-01,300.053619
1951-04-02,296.161957
1951-04-03,292.681732
1951-04-04,294.900208
1951-04-05,298.126984
1951-04-06,300.808960
1951-04-07,297.052826
1951-04-08,295.000366
1951-04-09,296.689697
1951-04-10,287.515533
1951-04-11,289.253906
1951-04-12,296.353943
1951-04-13,295.025818
1951-04-14,298.059082
1951-04-15,297.843262
1951-04-16,290.573303
1951-04-17,286.314850
1951-04-18,287.315063
1951-04-19,284.868439
1951-04-20,281.638947
1951-04-21,281.128998
1951-04-22,283.193909
1951-04-23,285.418610
1951-04-24,298.376129
1951-04-25,299.800262
1951-04-26,297.587708
1951-04-27,302.148712
1951-04-28,298.992401
1951-04-29,293.345276
1951-04-30,298.527405
1951-05-01,300.069885
1951-05-02,301.029419
1951-05-03,301.062378
1951-05-04,300.556519
1951-05-05,304.324951
1951-05-06,303.838287
1951-05-07,298.948761
1951-05-08,299.452332
1951-05-09,298.784515
1951-05-10,297.553558
1951-05-11,296.262695
1951-05-12,303.412567
1951-05-13,300.369843
1951-05-14,295.858368
1951-05-15,301.953430
1951-05-16,301.928741
1951-05-17,300.219696
1951-05-18,296.347778
1951-05-19,296.833984
1951-05-20,296.905518
1951-05-21,299.555756
1951-05-22,300.504486
1951-05-23,299.451477
1951-05-24,293.414032
1951-05-25,296.068329
1951-05-26,300.656799
1951-05-27,299.233856
1951-05-28,301.166687
1951-05-29,298.670013
1951-05-30,294.348724
1951-05-31,297.070740
1951-06-01,294.110229
1951-06-02,295.347656
1951-06-03,296.313477
1951-06-04,291.290710
1951-06-05,296.842133
1951-06-06,300.701202
1951-06-07,301.650757
1951-06-08,301.939484
1951-06-09,302.678650
1951-06-10,298.866699
1951-06-11,301.665527
1951-06-12,299.946533
1951-06-13,300.682922
1951-06-14,299.625610
1951-06-15,298.336121
1951-06-16,294.788849
1951-06-17,296.708832
1951-06-18,301.419159
1951-06-19,298.680725
1951-06-20,300.157104
1951-06-21,301.573547
1951-06-22,300.530914
1951-06-23,303.665649
1951-06-24,300.372314
1951-06-25,300.479767
1951-06-26,300.437897
1951-06-27,303.864166
1951-06-28,299.157562
1951-06-29,300.097778
1951-06-30,302.121216
1951-07-01,301.657959
1951-07-02,301.736664
1951-07-03,305.435150
1951-07-04,304.828033
1951-07-05,304.526550
1951-07-06,304.357086
1951-07-07,304.251373
1951-07-08,304.895691
1951-07-09,305.624146
1951-07-10,306.517822
1951-07-11,300.292755
1951-07-12,298.909027
1951-07-13,297.998962
1951-07-14,297.274689
1951-07-15,303.260651
1951-07-16,301.864563
1951-07-17,302.239136
1951-07-18,304.023438
1951-07-19,305.448151
1951-07-20,307.166840
1951-07-21,301.822449
1951-07-22,300.766785
1951-07-23,303.470825
1951-07-24,301.748596
1951-07-25,300.813354
1951-07-26,301.163452
1951-07-27,303.389099
1951-07-28,305.743073
1951-07-29,304.927155
1951-07-30,302.133972
1951-07-31,301.753235
1951-08-01,302.224915
1951-08-02,307.158783
1951-08-03,307.439148
1951-08-04,304.195129
1951-08-05,299.975128
1951-08-06,302.543976
1951-08-07,305.180054
1951-08-08,306.106506
1951-08-09,303.566803
1951-08-10,301.544495
1951-08-11,295.176849
1951-08-12,296.446350
1951-08-13,297.532471
1951-08-14,301.245667
1951-08-15,295.572906
1951-08-16,298.829315
1951-08-17,300.575470
1951-08-18,303.198425
1951-08-19,302.165802
1951-08-20,301.145325
1951-08-21,297.315247
1951-08-22,299.806488
1951-08-23,299.007599
1951-08-24,300.343018
1951-08-25,303.378906
1951-08-26,302.185120
1951-08-27,301.986328
1951-08-28,299.122864
1951-08-29,301.808411
1951-08-30,303.131378
1951-08-31,298.977875
1951-09-01,297.902832
1951-09-02,298.187317
1951-09-03,299.635773
1951-09-04,301.394196
1951-09-05,305.901581
1951-09-06,305.012634
1951-09-07,306.494720
1951-09-08,297.593475
1951-09-09,301.228455
1951-09-10,302.277985
1951-09-11,301.479126
1951-09-12,299.737213
1951-09-13,294.849670
1951-09-14,298.910522
1951-09-15,297.289307
1951-09-16,299.737762
1951-09-17,303.225830
1951-09-18,303.133850
1951-09-19,302.863220
1951-09-20,303.465149
1951-09-21,302.899628
1951-09-22,300.862518
1951-09-23,293.992950
1951-09-24,294.104431
1951-09-25,299.600555
1951-09-26,304.012024
1951-09-27,301.725311
1951-09-28,296.245911
1951-09-29,292.620728
1951-09-30,296.421204
1951-10-01,299.610748
1951-10-02,297.499084
1951-10-03,304.863708
1951-10-04,299.638702
1951-10-05,295.827728
1951-10-06,294.270020
1951-10-07,295.727081
1951-10-08,294.255859
1951-10-09,294.431091
1951-10-10,294.808136
1951-10-11,294.840942
1951-10-12,286.564697
1951-10-13,291.838226
1951-10-14,294.792969
1951-10-15,299.452850
1951-10-16,300.413147
1951-10-17,300.397736
1951-10-18,300.392242
1951-10-19,300.005707
1951-10-20,299.037384
1951-10-21,297.094391
1951-10-22,296.943756
1951-10-23,287.712433
1951-10-24,291.559357
1951-10-25,295.586182
1951-10-26,294.275543
1951-10-27,296.061646
1951-10-28,297.087402
1951-10-29,298.534210
1951-10-30,297.272858
1951-10-31,295.619415
1951-11-01,290.286774
1951-11-02,286.988037
1951-11-03,293.885071
1951-11-04,285.109375
1951-11-05,289.232513
1951-11-06,285.466827
1951-11-07,280.221985
1951-11-08,291.028320
1951-11-09,294.823303
1951-11-10,290.734985
1951-11-11,280.004944
1951-11-12,281.206085
1951-11-13,282.986572
1951-11-14,289.159027
1951-11-15,285.790771
1951-11-16,283.123596
1951-11-17,286.662201
1951-11-18,276.847961
1951-11-19,278.977753
1951-11-20,278.897095
1951-11-21,282.967743
1951-11-22,283.516327
1951-11-23,282.569702
1951-11-24,285.568848
1951-11-25,289.798737
1951-11-26,297.995453
1951-11-27,293.384155
1951-11-28,277.347412
1951-11-29,275.620361
1951-11-30,279.341858
1951-12-01,281.617371
1951-12-02,278.143921
1951-12-03,276.632263
1951-12-04,281.821381
1951-12-05,282.220245
1951-12-06,285.758331
1951-12-07,274.537018
1951-12-08,279.191345
1951-12-09,276.107452
1951-12-10,280.213928
1951-12-11,288.294342
1951-12-12,289.472473
1951-12-13,288.489746
1951-12-14,279.145599
1951-12-15,287.213837
1951-12-16,280.407684
1951-12-17,289.279846
1951-12-18,285.830872
1951-12-19,286.647095
1951-12-20,283.197327
1951-12-21,283.904510
1951-12-22,283.439758
1951-12-23,285.990356
1951-12-24,287.094757
1951-12-25,284.145386
1951-12-26,286.642700
1951-12-27,279.744965
1951-12-28,277.619751
1951-12-29,279.796997
1951-12-30,277.478088
1951-12-31,280.750183
1952-01-01,276.674561
1952-01-02,273.582275
1952-01-03,281.908661
1952-01-04,285.243530
1952-01-05,277.457428
1952-01-06,266.776703
1952-01-07,275.787659
1952-01-08,283.028198
1952-01-09,284.304871
1952-01-10,279.531158
1952-01-11,286.766357
1952-01-12,284.582123
1952-01-13,284.512360
1952-01-14,288.312805
1952-01-15,289.648071
1952-01-16,286.082092
1952-01-17,288.355591
1952-01-18,291.571930
1952-01-19,285.542084
1952-01-20,287.051819
1952-01-21,279.642487
1952-01-22,288.453552
1952-01-23,278.813904
1952-01-24,275.976318
1952-01-25,277.594971
1952-01-26,281.177917
1952-01-27,289.085754
1952-01-28,289.198975
1952-01-29,285.276733
1952-01-30,279.749939
1952-01-31,288.306122
1952-02-01,287.310669
1952-02-02,288.730286
1952-02-03,287.984131
1952-02-04,282.969147
1952-02-05,280.439178
1952-02-06,283.069794
1952-02-07,278.273407
1952-02-08,280.376648
1952-02-09,284.737213
1952-02-10,289.398804
1952-02-11,287.503235
1952-02-12,286.690125
1952-02-13,288.403809
1952-02-14,292.276489
1952-02-15,291.168549
1952-02-16,284.667328
1952-02-17,287.774689
1952-02-18,290.251526
1952-02-19,274.471954
1952-02-20,272.493073
1952-02-21,279.308929
1952-02-22,278.292206
1952-02-23,270.393585
1952-02-24,278.572327
1952-02-25,283.825745
1952-02-26,282.335510
1952-02-27,279.719482
1952-02-28,281.236633
1952-02-29,283.518005
1952-03-01,285.799347
1952-03-02,291.709564
1952-03-03,282.396912
1952-03-04,285.975433
1952-03-05,283.668823
1952-03-06,282.112610
1952-03-07,290.163666
1952-03-08,287.265198
1952-03-09,280.554260
1952-03-10,289.343048
1952-03-11,292.095795
1952-03-12,285.165039
1952-03-13,278.577393
1952-03-14,275.616882
1952-03-15,283.798615
1952-03-16,287.830841
1952-03-17,287.138916
1952-03-18,289.670502
1952-03-19,289.560669
1952-03-20,287.727997
1952-03-21,279.045044
1952-03-22,289.460663
1952-03-23,290.607819
1952-03-24,284.745209
1952-03-25,279.094879
1952-03-26,288.179565
1952-03-27,285.634888
1952-03-28,289.789948
1952-03-29,286.640259
1952-03-30,283.532318
1952-03-31,287.101440
1952-04-01,282.112061
1952-04-02,282.451660
1952-04-03,296.099487
1952-04-04,283.799011
1952-04-05,294.428436
1952-04-06,294.771240
1952-04-07,291.952362
1952-04-08,296.331818
1952-04-09,292.332611
1952-04-10,287.061432
1952-04-11,287.563171
1952-04-12,286.315552
1952-04-13,290.786957
1952-04-14,289.710083
1952-04-15,287.891266
1952-04-16,284.010071
1952-04-17,285.646240
1952-04-18,290.610352
1952-04-19,297.120148
1952-04-20,301.925720
1952-04-21,292.076080
1952-04-22,286.980835
1952-04-23,284.436066
1952-04-24,282.092712
1952-04-25,299.152344
1952-04-26,300.883698
1952-04-27,297.150421
1952-04-28,295.184753
1952-04-29,301.218018
1952-04-30,299.805786
1952-05-01,296.332245
1952-05-02,301.345123
1952-05-03,304.897125
1952-05-04,302.976288
1952-05-05,303.341919
1952-05-06,297.676331
1952-05-07,294.401855
1952-05-08,296.454346
1952-05-09,295.978485
1952-05-10,295.221100
1952-05-11,297.285065
1952-05-12,297.469208
1952-05-13,298.138824
1952-05-14,291.248138
1952-05-15,298.646210
1952-05-16,301.649719
1952-05-17,298.516052
1952-05-18,294.567200
1952-05-19,294.892670
1952-05-20,295.767578
1952-05-21,299.089661
1952-05-22,299.691376
1952-05-23,301.270905
1952-05-24,299.227783
1952-05-25,299.575897
1952-05-26,295.520508
1952-05-27,296.193695
1952-05-28,294.148987
1952-05-29,294.249207
1952-05-30,302.237396
1952-05-31,304.655853
1952-06-01,302.637115
1952-06-02,305.094879
1952-06-03,304.382538
1952-06-04,304.785980
1952-06-05,301.923676
1952-06-06,300.257660
1952-06-07,297.483673
1952-06-08,298.060730
1952-06-09,302.054901
1952-06-10,299.185272
1952-06-11,301.051147
1952-06-12,298.843109
1952-06-13,300.505829
1952-06-14,301.690857
1952-06-15,297.220001
1952-06-16,299.516083
1952-06-17,302.560242
1952-06-18,302.727234
1952-06-19,302.949036
1952-06-20,303.333801
1952-06-21,305.041840
1952-06-22,307.116943
1952-06-23,308.029510
1952-06-24,306.842529
1952-06-25,309.606262
1952-06-26,307.698059
1952-06-27,302.227051
1952-06-28,304.576691
1952-06-29,300.602814
1952-06-30,303.115173
1952-07-01,298.145935
1952-07-02,295.415710
1952-07-03,301.102509
1952-07-04,299.783661
1952-07-05,301.037445
1952-07-06,301.835266
1952-07-07,303.718079
1952-07-08,305.177338
1952-07-09,302.216064
1952-07-10,308.605194
1952-07-11,303.552612
1952-07-12,306.093567
1952-07-13,302.968872
1952-07-14,305.003937
1952-07-15,307.303833
1952-07-16,304.913483
1952-07-17,304.524414
1952-07-18,307.235107
1952-07-19,305.055054
1952-07-20,306.373810
1952-07-21,304.770660
1952-07-22,299.634949
1952-07-23,298.741852
1952-07-24,300.794159
1952-07-25,303.619476
1952-07-26,304.068115
1952-07-27,304.404083
1952-07-28,305.535400
1952-07-29,305.047211
1952-07-30,303.891418
1952-07-31,302.458191
1952-08-01,304.684814
1952-08-02,306.296051
1952-08-03,305.951202
1952-08-04,302.314026
1952-08-05,304.511993
1952-08-06,305.668243
1952-08-07,306.096588
1952-08-08,302.659973
1952-08-09,303.893250
1952-08-10,303.262604
1952-08-11,305.176453
1952-08-12,301.023010
1952-08-13,301.158539
1952-08-14,301.577850
1952-08-15,300.604645
1952-08-16,302.999115
1952-08-17,304.583740
1952-08-18,303.215973
1952-08-19,303.366913
1952-08-20,301.497589
1952-08-21,299.268311
1952-08-22,304.780029
1952-08-23,301.930084
1952-08-24,305.169037
1952-08-25,306.803894
1952-08-26,306.282867
1952-08-27,303.395508
1952-08-28,300.422729
1952-08-29,295.073212
1952-08-30,300.904175
1952-08-31,300.575073
1952-09-01,298.122223
1952-09-02,297.065369
1952-09-03,299.612000
1952-09-04,297.020050
1952-09-05,298.229767
1952-09-06,299.910645
1952-09-07,297.628906
1952-09-08,299.947021
1952-09-09,297.728729
1952-09-10,291.665192
1952-09-11,295.370453
1952-09-12,298.546082
1952-09-13,303.109406
1952-09-14,302.949097
1952-09-15,301.899475
1952-09-16,297.862823
1952-09-17,295.952667
1952-09-18,298.032898
1952-09-19,292.928284
1952-09-20,289.918579
1952-09-21,292.801270
1952-09-22,298.533417
1952-09-23,296.346313
1952-09-24,297.066040
1952-09-25,294.778900
1952-09-26,293.150299
1952-09-27,298.708344
1952-09-28,294.758362
1952-09-29,296.997589
1952-09-30,287.438629
1952-10-01,289.989471
1952-10-02,295.923157
1952-10-03,299.872528
1952-10-04,301.357758
1952-10-05,301.053589
1952-10-06,296.331299
1952-10-07,286.799713
1952-10-08,289.340607
1952-10-09,287.165955
1952-10-10,289.799316
1952-10-11,294.273712
1952-10-12,291.462799
1952-10-13,287.057800
1952-10-14,281.447449
1952-10-15,285.642365
1952-10-16,288.803436
1952-10-17,292.752869
1952-10-18,295.121765
1952-10-19,295.385132
1952-10-20,295.829071
1952-10-21,291.544891
1952-10-22,286.072784
1952-10-23,282.435913
1952-10-24,290.131317
1952-10-25,291.040161
1952-10-26,295.306702
1952-10-27,300.902100
1952-10-28,298.371216
1952-10-29,290.958710
1952-10-30,296.261749
1952-10-31,297.880096
1952-11-01,286.885895
1952-11-02,288.001801
1952-11-03,286.702301
1952-11-04,290.603882
1952-11-05,286.800476
1952-11-06,290.143768
1952-11-07,284.930237
1952-11-08,284.502350
1952-11-09,285.257263
1952-11-10,286.033447
1952-11-11,283.586884
1952-11-12,281.905914
1952-11-13,277.934723
1952-11-14,280.125305
1952-11-15,279.749084
1952-11-16,275.968781
1952-11-17,287.170074
1952-11-18,293.597229
1952-11-19,292.431061
1952-11-20,296.141663
1952-11-21,288.074982
1952-11-22,284.012482
1952-11-23,294.510895
1952-11-24,288.874115
1952-11-25,274.678986
1952-11-26,275.095795
1952-11-27,274.288147
1952-11-28,272.923462
1952-11-29,274.552094
1952-11-30,274.303162
1952-12-01,274.194641
1952-12-02,272.326874
1952-12-03,275.801178
1952-12-04,277.591553
1952-12-05,283.422363
1952-12-06,286.328430
1952-12-07,286.951385
1952-12-08,287.464752
1952-12-09,284.246704
1952-12-10,284.488739
1952-12-11,282.886993
1952-12-12,279.644653
1952-12-13,274.844666
1952-12-14,276.731232
1952-12-15,275.394623
1952-12-16,277.976471
1952-12-17,282.772217
1952-12-18,281.397186
1952-12-19,276.433472
1952-12-20,285.323639
1952-12-21,286.798035
1952-12-22,281.529633
1952-12-23,280.439453
1952-12-24,286.870697
1952-12-25,283.709717
1952-12-26,277.608704
1952-12-27,276.162537
1952-12-28,281.514099
1952-12-29,275.063141
1952-12-30,274.923584
1952-12-31,276.568451
1953-01-01,277.209839
1953-01-02,283.386780
1953-01-03,287.119995
1953-01-04,286.783234
1953-01-05,295.198730
1953-01-06,293.598969
1953-01-07,287.605957
1953-01-08,286.208252
1953-01-09,287.437561
1953-01-10,289.904846
1953-01-11,291.605347
1953-01-12,288.368988
1953-01-13,265.652740
1953-01-14,276.259033
1953-01-15,272.386047
1953-01-16,269.615326
1953-01-17,267.637573
1953-01-18,276.534943
1953-01-19,270.783630
1953-01-20,269.047852
1953-01-21,271.929565
1953-01-22,272.508545
1953-01-23,278.941315
1953-01-24,284.764954
1953-01-25,285.383972
1953-01-26,285.903076
1953-01-27,279.712250
1953-01-28,275.907379
1953-01-29,269.489624
1953-01-30,272.768372
1953-01-31,278.383179
